date,open,high,low,close,volume
2021-09-13,7.72,7.9,7.36,7.36,519900
2021-09-14,7.36,7.9,7.27,7.45,482015
2021-09-15,7.54,8.18,7.54,8.18,802999
2021-09-16,8.63,9.0,8.36,9.0,392100
2021-09-17,9.81,9.81,9.0,9.81,948952
2021-09-20,10.09,10.63,8.9,9.45,1206312
2021-09-21,9.45,10.36,8.81,10.36,524200
2021-09-22,11.36,11.36,10.45,11.36,340364
2021-09-23,11.63,11.81,10.54,10.63,780898
2021-09-24,10.54,10.72,9.81,9.9,694072
2021-09-27,9.27,9.9,9.18,9.18,341235
2021-09-28,9.18,9.99,8.45,9.9,286477
2021-09-29,10.09,10.81,9.9,10.81,685764
2021-09-30,11.36,11.36,10.54,10.99,533129
2021-10-01,10.99,11.63,10.54,11.08,457680
2021-10-04,11.08,11.54,10.54,10.9,459986
2021-10-05,10.9,11.18,10.72,10.99,397537
2021-10-06,10.99,11.72,10.9,11.63,887163
2021-10-07,11.63,12.08,11.36,11.72,559642
2021-10-08,11.81,11.81,11.08,11.36,264557
2021-10-11,11.18,11.54,11.08,11.27,282509
2021-10-12,11.08,11.27,10.9,11.18,456800
2021-10-13,11.18,11.18,10.9,11.08,396491
2021-10-14,11.18,11.63,11.18,11.27,258470
2021-10-15,11.27,11.36,10.99,11.08,267949
2021-10-18,11.08,11.36,10.99,11.18,216456
2021-10-19,11.27,11.27,10.99,11.08,209821
2021-10-20,10.99,11.27,10.9,11.08,203164
2021-10-21,11.08,11.18,10.54,10.81,446289
2021-10-22,10.81,10.99,10.72,10.99,195829
2021-10-25,10.99,11.18,10.72,10.81,372009
2021-10-26,10.54,11.08,10.27,11.08,213035
2021-10-27,11.08,11.27,10.72,11.18,540312
2021-10-28,11.18,11.45,11.18,11.36,367145
2021-10-29,11.27,11.54,11.08,11.08,285357
2021-11-01,11.08,11.08,10.9,10.99,219495
2021-11-02,10.99,12.08,10.81,11.99,1053224
2021-11-03,11.99,12.81,11.36,11.54,647372
2021-11-04,11.54,11.99,11.45,11.72,250468
2021-11-05,11.72,11.81,11.36,11.72,252106
2021-11-08,11.72,12.18,11.45,11.81,433534
2021-11-09,11.81,12.27,11.54,11.54,316260
2021-11-10,11.63,11.99,11.45,11.81,347894
2021-11-11,11.9,12.54,11.81,12.54,732177
2021-11-12,12.54,13.72,12.36,12.99,593685
2021-11-15,12.99,13.17,12.45,12.99,382629
2021-11-16,12.9,13.17,12.08,12.72,601358
2021-11-17,12.27,12.54,12.27,12.36,172160
2021-11-18,12.36,12.45,12.08,12.08,419784
2021-11-19,12.18,12.27,11.27,11.45,506779
2021-11-22,11.72,11.72,10.36,10.45,337763
2021-11-23,10.45,11.36,10.09,11.27,136659
2021-11-24,11.36,11.45,10.99,11.08,132318
2021-11-25,11.18,11.27,10.9,10.99,241048
2021-11-26,11.08,11.45,10.81,11.18,257180
2021-11-29,10.9,11.63,10.9,11.54,191956
2021-11-30,11.72,12.18,11.45,11.54,294319
2021-12-01,11.54,11.63,11.08,11.45,58483
2021-12-02,11.45,11.63,11.18,11.45,135696
2021-12-03,11.45,11.45,10.99,10.99,188442
2021-12-06,10.99,11.36,10.81,10.81,86081
2021-12-07,10.9,10.99,10.63,10.99,67600
2021-12-08,11.27,11.27,10.72,10.99,90001
2021-12-09,11.08,11.08,10.72,10.99,97614
2021-12-10,10.9,11.36,10.9,11.36,163310
