universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.6262886597938144,0.39490445859872614,0.5535714285714286,0.5874852437620525,0.6144539337474121,0.604684265010352,indirect_only,quarter,0.02,1889,20,388,16,17,22,0.28865979381443296
HOSE100_quality,Random_Forest,Config_A,0.7036082474226805,0.49032258064516127,0.6785714285714286,0.6716775935777723,0.7682776915113871,0.6961697722567288,indirect_only,quarter,0.02,1889,20,388,16,17,22,0.28865979381443296
HOSE100_quality,XGBoost,Config_A,0.7061855670103093,0.4934210526315789,0.6696428571428571,0.6727627840909092,0.7625517598343684,0.6953286749482401,indirect_only,quarter,0.02,1889,20,388,16,17,22,0.28865979381443296
HOSE100_quality,LightGBM,Config_A,0.7216494845360825,0.5140845070422535,0.6517857142857143,0.6839532989410806,0.7616136128364389,0.7008928571428572,indirect_only,quarter,0.02,1889,20,388,16,17,22,0.28865979381443296
HOSE100_quality,Logistic_Regression,Config_LLM,0.7010309278350515,0.3,0.026785714285714284,0.4359051486439064,0.5009057971014492,0.5007116977225673,indirect_only,quarter,0.02,1889,20,388,36,17,22,0.28865979381443296
HOSE100_quality,Random_Forest,Config_LLM,0.7010309278350515,0.3333333333333333,0.03571428571428571,0.44330100930140515,0.5058391563146999,0.5033643892339544,indirect_only,quarter,0.02,1889,20,388,36,17,22,0.28865979381443296
HOSE100_quality,XGBoost,Config_LLM,0.6984536082474226,0.2727272727272727,0.026785714285714284,0.43480372016583874,0.49746053312629396,0.49890010351966874,indirect_only,quarter,0.02,1889,20,388,36,17,22,0.28865979381443296
HOSE100_quality,LightGBM,Config_LLM,0.711340206185567,0.0,0.0,0.41566265060240964,0.5,0.5,indirect_only,quarter,0.02,1889,20,388,36,17,22,0.28865979381443296
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.6288659793814433,0.3987341772151899,0.5625,0.5910408432147563,0.6145833333333333,0.6091485507246377,indirect_only,quarter,0.02,1889,20,388,52,17,22,0.28865979381443296
HOSE100_quality,Random_Forest,Config_Hybrid,0.7087628865979382,0.4967741935483871,0.6875,0.6773875484720719,0.767663043478261,0.7024456521739131,indirect_only,quarter,0.02,1889,20,388,52,17,22,0.28865979381443296
HOSE100_quality,XGBoost,Config_Hybrid,0.7061855670103093,0.4934210526315789,0.6696428571428571,0.6727627840909092,0.7625517598343684,0.6953286749482401,indirect_only,quarter,0.02,1889,20,388,52,17,22,0.28865979381443296
HOSE100_quality,LightGBM,Config_Hybrid,0.7216494845360825,0.5140845070422535,0.6517857142857143,0.6839532989410806,0.7616136128364389,0.7008928571428572,indirect_only,quarter,0.02,1889,20,388,52,17,22,0.28865979381443296
