model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.4628930817610063,0.0,0.0,0.3164230438521066,0.5,0.5
Naive_Momentum,Config_A,0.5018867924528302,0.5441595441595442,0.44730679156908665,0.5016589208150241,0.5062620914367173,0.5062620914367172
Logistic_Regression,Config_A,0.6981132075471698,0.7073170731707317,0.747072599531616,0.6947864144762099,0.7443106608288361,0.6941884736788515
Random_Forest,Config_A,0.6981132075471698,0.7441253263707572,0.667447306791569,0.698005698005698,0.7680035128805621,0.7005714794827411
XGBoost,Config_A,0.7018867924528301,0.7188940092165899,0.7306791569086651,0.699817897649876,0.7589985744832501,0.6995787088891152
LightGBM,Config_A,0.6930817610062893,0.7065462753950339,0.7330210772833724,0.6903256704980842,0.7616268709907341,0.6898801038590775
Majority_Class,Config_B,0.4628930817610063,0.0,0.0,0.3164230438521066,0.5,0.5
Naive_Momentum,Config_B,0.5018867924528302,0.5441595441595442,0.44730679156908665,0.5016589208150241,0.5062620914367173,0.5062620914367172
Logistic_Regression,Config_B,0.5283018867924528,0.5335051546391752,0.9695550351288056,0.3596435268418102,0.4977471744221566,0.49292969147744625
Random_Forest,Config_B,0.529559748427673,0.5343709468223087,0.9648711943793911,0.36686569452488843,0.5011264127889217,0.4946638580592608
XGBoost,Config_B,0.5257861635220126,0.5323834196891192,0.9625292740046838,0.3606884680114929,0.49343244068832093,0.4907755065675593
LightGBM,Config_B,0.5257861635220126,0.5328083989501312,0.9508196721311475,0.37138860166656534,0.49516342531310453,0.4917141838916607
Majority_Class,Config_C,0.4628930817610063,0.0,0.0,0.3164230438521066,0.5,0.5
Naive_Momentum,Config_C,0.5018867924528302,0.5441595441595442,0.44730679156908665,0.5016589208150241,0.5062620914367173,0.5062620914367172
Logistic_Regression,Config_C,0.6616352201257861,0.680365296803653,0.6978922716627635,0.6589914291409209,0.7225269829956217,0.6587287445270339
Random_Forest,Config_C,0.7018867924528301,0.7461139896373057,0.6744730679156908,0.7017338899257719,0.7739792281845026,0.7040843600448019
XGBoost,Config_C,0.7018867924528301,0.7188940092165899,0.7306791569086651,0.699817897649876,0.7589985744832501,0.6995787088891152
LightGBM,Config_C,0.6930817610062893,0.7065462753950339,0.7330210772833724,0.6903256704980842,0.7616268709907341,0.6898801038590775
